Missouri County,Fall Term,,,,
,2015,2016,2017,2018,2019
Adair,3,2,3,3,6
Andrew,2,2,2,1,0
Atchison,0,0,0,0,0
Audrain,10,7,8,5,6
Barry,7,3,1,2,3
Barton,0,0,1,0,0
Bates,1,0,0,0,1
Benton,1,1,0,0,0
Bollinger,231,255,216,197,196
Boone,44,34,42,38,28
Buchanan,4,3,4,5,7
Butler,104,106,109,126,112
Caldwell,0,0,0,0,1
Callaway,15,12,13,10,13
Camden,6,5,1,0,4
Cape Girardeau,"2,160","2,182","1,964","1,974","1,962"
Carroll,3,2,1,1,1
Carter,14,16,11,11,11
Cass,3,5,8,9,10
Cedar,0,0,0,1,1
Chariton,0,0,1,1,0
Christian,15,11,7,6,9
Clark,1,1,0,0,0
Clay,13,12,14,11,9
Clinton,0,1,2,2,2
Cole,34,27,28,27,27
Cooper,1,1,2,2,2
Crawford,19,14,11,18,20
Dade,0,0,0,1,1
Dallas,3,2,1,2,3
Daviess,2,2,2,2,0
De Kalb,2,2,1,1,0
Dent,2,1,3,4,5
Douglas,0,1,1,1,1
Dunklin,377,354,314,285,251
Franklin,152,147,121,111,108
Gasconade,16,13,9,11,13
Gentry,0,0,0,0,0
Greene,28,32,27,33,37
Grundy,3,2,2,2,2
Harrison,0,0,0,1,0
Henry,2,3,3,1,0
Hickory,2,2,1,0,0
Holt,0,1,0,0,0
Howard,0,0,0,0,0
Howell,9,8,10,9,7
Iron,33,27,32,23,26
Jackson,44,43,33,43,41
Jasper,14,11,14,11,8
Jefferson,554,607,609,576,563
Johnson,7,6,7,7,4
Knox,0,0,0,0,0
Laclede,6,7,9,9,10
Lafayette,2,1,0,2,1
Lawrence,1,1,0,0,2
Lewis,3,2,2,2,2
Lincoln,75,79,83,67,56
Linn,3,3,2,1,1
Livingston,1,0,1,0,0
Macon,1,0,2,3,1
Madison,72,71,73,83,57
Maries,2,2,2,3,3
Marion,12,11,11,10,8
McDonald,2,2,0,1,2
Mercer,0,0,0,0,0
Miller,2,5,2,3,3
Mississippi,198,195,167,166,156
Moniteau,1,1,1,2,3
Monroe,1,1,0,0,1
Montgomery,2,7,5,3,3
Morgan,3,1,2,1,0
New Madrid,256,238,244,220,206
Newton,3,3,6,5,5
Nodaway,1,1,3,2,2
Oregon,3,5,4,4,4
Osage,9,8,6,4,2
Ozark,1,5,2,4,1
Pemiscot,146,131,137,117,136
Perry,303,316,323,284,280
Pettis,2,4,3,2,1
Phelps,20,19,25,20,15
Pike,5,6,9,10,8
Platte,10,8,7,4,3
Polk,0,1,1,1,1
Pulaski,8,11,12,13,9
Putnam,0,0,0,0,0
Ralls,3,2,3,3,0
Randolph,2,3,3,3,1
Ray,2,1,1,4,4
Reynolds,10,8,16,9,8
Ripley,20,23,14,16,22
Saint Charles,513,538,621,583,582
Saint Clair,0,0,1,1,1
Saint Francois,162,171,173,161,159
Saint Louis,"1,436","1,426","1,316","1,229","1,151"
Saint Louis City,203,191,193,222,201
Sainte Genevieve,208,207,177,191,173
Saline,3,0,0,2,5
Schuyler,0,0,0,0,0
Scotland,2,2,1,1,1
Scott,931,927,866,870,814
Shannon,1,4,3,2,3
Shelby,2,1,2,1,4
Stoddard,412,423,415,407,386
Stone,0,2,0,2,1
Sullivan,1,0,0,0,0
Taney,5,3,7,9,9
Texas,9,4,4,5,2
Vernon,2,1,0,0,0
Warren,25,16,13,19,21
Washington,43,44,38,42,45
Wayne,49,44,49,46,47
Webster,13,8,12,10,8
Worth,0,0,0,0,0
Wright,2,5,5,3,2